ticket_id,summary,description,asset_id,type,priority,impact,deadline,status,created_by,assigned_to,estimated_minutes,requires_tools,change_window_start,change_window_end,x,y,row,rack,u
TICK-1,recable_port on F-04,Do recable_port for F-04,F-04,recable_port,High,2,2025-12-01,in-progress,engineer@demo,Jia,60,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1271,310,F,4,36
TICK-2,swap_psu on E-02,Do swap_psu for E-02,E-02,swap_psu,Critical,1,2025-12-01,done,engineer@demo,Ben,45,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,657,298,E,2,30
TICK-3,swap_psu on F-02,Do swap_psu for F-02,F-02,swap_psu,Low,2,2025-12-01,queued,engineer@demo,Hana,15,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1157,295,F,2,30
TICK-4,audit_label on F-07,Do audit_label for F-07,F-07,audit_label,Medium,3,2025-12-01,queued,engineer@demo,Ivan,15,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1442,291,F,7,21
TICK-5,swap_psu on F-01,Do swap_psu for F-01,F-01,swap_psu,High,3,2025-12-01,done,engineer@demo,Dia,30,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1100,307,F,1,16
TICK-6,reseat_blade on C-08,Do reseat_blade for C-08,C-08,reseat_blade,High,3,2025-12-01,queued,engineer@demo,Jia,45,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1500,104,C,8,35
TICK-7,replace_sfp on D-08,Do replace_sfp for D-08,D-08,replace_sfp,Low,2,2025-12-01,in-progress,engineer@demo,Dia,15,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,500,292,D,8,15
TICK-8,install_server on B-08,Do install_server for B-08,B-08,install_server,Critical,1,2025-12-01,done,engineer@demo,Hana,15,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1000,95,B,8,28
TICK-9,reseat_blade on E-03,Do reseat_blade for E-03,E-03,reseat_blade,Low,2,2025-12-01,done,engineer@demo,Chen,45,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,714,310,E,3,24
TICK-10,install_server on E-02,Do install_server for E-02,E-02,install_server,Medium,1,2025-12-01,done,engineer@demo,Dia,45,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,657,298,E,2,30
TICK-11,audit_label on D-02,Do audit_label for D-02,D-02,audit_label,High,2,2025-12-01,done,engineer@demo,Hana,15,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,157,292,D,2,36
TICK-12,reseat_blade on B-08,Do reseat_blade for B-08,B-08,reseat_blade,Low,1,2025-12-01,done,engineer@demo,Ivan,30,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1000,95,B,8,28
TICK-13,reseat_blade on E-06,Do reseat_blade for E-06,E-06,reseat_blade,Low,3,2025-12-01,done,engineer@demo,Ava,30,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,885,298,E,6,42
TICK-14,replace_sfp on A-05,Do replace_sfp for A-05,A-05,replace_sfp,Critical,1,2025-12-01,done,engineer@demo,Dia,45,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,328,107,A,5,6
TICK-15,recable_port on F-03,Do recable_port for F-03,F-03,recable_port,Medium,1,2025-12-01,done,engineer@demo,Jia,60,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1214,302,F,3,18
TICK-16,recable_port on B-08,Do recable_port for B-08,B-08,recable_port,High,1,2025-12-01,queued,engineer@demo,Ben,60,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1000,95,B,8,28
TICK-17,recable_port on C-07,Do recable_port for C-07,C-07,recable_port,Medium,3,2025-12-01,queued,engineer@demo,Ben,15,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1442,98,C,7,3
TICK-18,audit_label on D-02,Do audit_label for D-02,D-02,audit_label,Medium,1,2025-12-01,queued,engineer@demo,Dia,30,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,157,292,D,2,36
TICK-19,recable_port on E-03,Do recable_port for E-03,E-03,recable_port,Low,1,2025-12-01,in-progress,engineer@demo,Hana,30,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,714,310,E,3,24
TICK-20,recable_port on A-05,Do recable_port for A-05,A-05,recable_port,High,3,2025-12-01,queued,engineer@demo,Ava,15,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,328,107,A,5,6
